Study,Year,Reference #,Study Technique,Patients,A,B,C,D,E,F,G
Sundarathiti,2009,71,TKA NA ,61,Unclear,Unclear,Unclear,Low,Low,Low,Unclear
Thybo,2016,72,THA NA ,100,Low,Low,Low,Unclear,Low,Low,Low
Toftdahl,2007,73,TKA NA ,77,Low,Unclear,Unclear,Low,Low,Low,Low
Tong,2019,74,TKA NA ,40,Low,Low,Low,Low,Low,Low,Low
Twyman,1990,75,THA GA ,20,Unclear,Unclear,Unclear,Low,High,Low,Unclear
Wall,2017,76,TKA GA NA ,257,Low,Low,Unclear,Unclear,Low,Unclear,Low
Wang,2019,77,TKA ,90,Low,Low,Low,Low,Low,Low,Low
Widmer,2012,78,TKA GA ,55,Low,Low,Low,Low,Low,Low,Low
Wu,2014,79,TKA NA ,79,Low,High,High,Unclear,Low,Low,Low
Yamamoto,2019,80,THA NA ,53,Low,Low,Low,Low,Low,Low,Low
Zhou,2018,81,TKA GA ,40,Low,Low,Low,Low,Low,Low,Low
Zinkus,2017,82,TKA NA ,54,Low,Low,Low,Low,Low,Low,Low
